"k","coauthor.lepouras","coauthor.katifori","coauthor.vassilakis","coauthor.catarci","coauthor.poggi","coauthor.ioannidis","coauthor.mora","coauthor.daradimos","coauthor.md_akim","coauthor.humayoun","coauthor.terella","coauthor.dix","coauthor.vayanou","coauthor.georgiou","coauthor.iatropoulou","coauthor.karvounis","coauthor.kyriakidi","coauthor.manola","coauthor.mouzakidis","coauthor.stamatogiannakis","coauthor.triantafyllidi","coauthor.agrawal","coauthor.bernstein","coauthor.carey","coauthor.ceri","coauthor.croft","coauthor.dewitt","coauthor.franklin","coauthor.garciamolina","coauthor.gawlick","coauthor.gray","coauthor.haas","coauthor.halevy","coauthor.hellerstein","coauthor.kersten","coauthor.pazzani","coauthor.lesk","coauthor.maier","coauthor.naughton","coauthor.schek","coauthor.sellis","coauthor.silberschatz","coauthor.stonebraker","coauthor.snodgrass","coauthor.ullman","coauthor.weikum","coauthor.widom","coauthor.zdonik","coauthor.abiteboul","subject.h_digital_libraries","subject.content_user_functionality_quality_policy_architecture_digital_library_domain","subject.delos_digital_library_reference_model","subject.digital_libraries","subject.interoperability","coauthor.candela","coauthor.castelli","coauthor.el_raheb","coauthor.innocenti","coauthor.nika","coauthor.parker","coauthor.ross","coauthor.thanos","coauthor.toli","coauthor.vullo","coauthor.athanasopoulos","subject.digital_library","subject.manifesto","subject.reference_model","coauthor.ferro","coauthor.koutrika","coauthor.meghini","coauthor.pagano","coauthor.soergel","coauthor.agosti","coauthor.dobreva","coauthor.schuldt","subject.h_online_information_services","subject.crossdomain_scientific_research","subject.data_infrastructure","coauthor.buneman","coauthor.dirks","coauthor.gagliardi","coauthor.hey","coauthor.wilson","subject.digital_library_system","subject.interoperability_approach","coauthor.tani","subject.content_domain_model","subject.functionality","coauthor.fox","coauthor.kakaletris","coauthor.rauber","coauthor.davidson","coauthor.knoblock","coauthor.rabitti","subject.digital_library_conformance","subject.policy_domain_model","subject.architecture_domain_model","subject.functionality_domain_model","subject.user_domain_model","subject.quality_domain_model","coauthor.kossmann","coauthor.nottelmann","coauthor.scheck","coauthor.zezula","coauthor.zimmer","coauthor.christodoulakis","coauthor.tjoa","coauthor.bender","coauthor.triantafillou","coauthor.scholl","coauthor.schmidt","coauthor.matthes","coauthor.hatzopoulos","coauthor.boehm","coauthor.kemper","coauthor.grust","coauthor.michel","subject.digital_library_systems_interoperability__best_practices","subject.building_by_reuse","subject.digital_library_foundation","subject.distributed_information_retrieval","subject.diligent","coauthor.sibeko","coauthor.papanikos","coauthor.polydoras","coauthor.aarvaag","coauthor.crestani","coauthor.simeoni","coauthor.delis","coauthor.tsakalozos","coauthor.bosio","coauthor.manieri","coauthor.guidetti","subject.digital_library_interoperability","subject.digital_library_foundations","coauthor.harboeree","subject.digital_library_systems_user_requirements","subject.digital_libraries_reference_model","coauthor.fuhr","coauthor.klas","coauthor.saidis","coauthor.springmann","subject.articles","coauthor.akutsu","coauthor.doreleijers","coauthor.harano","coauthor.lin","coauthor.livny","coauthor.mading","coauthor.maziuk","coauthor.miller","coauthor.nakatani","coauthor.schulte","coauthor.tolmie","coauthor.kent_wenger","coauthor.yao","coauthor.markley","coauthor.ulrich","subject.computer_science__databases","coauthor.molina","id","name","title"
ioannidisy,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______1371::e826cf8d5a6d0d0cb00254427a8dbb00","Ioannidis, Yannis","From the web of data to a world of action"
ioannidisy,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2659::3201f73d046a8d49a6bdda31e202e236","Ioannidis, Yannis","Profiling Attitudes for Personalized Information Provision"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od_______211::8bc206fe0d4d85fb4aaba236bc580b9a","Ioannidis, Yannis E.","The Lowell Database Research Self-Assessment"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::e83fca68c4016f870c3a5cc0027f0292","Ioannidis, Yannis","Paving the Way for Interoperability in Digital Libraries: The DL.org Project"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::6816cb85637f2917b50b479c8878878b","Ioannidis, Yannis","The DELOS Digital Library Reference Model - Foundations for Digital Libraries"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::cbbfa33d6ea616b7b791661ad81ac765","Ioannidis, Yannis","GRL2020 Europe"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::be4b63a3291c7ec66f00dbf0a34bdea6","Ioannidis, Yannis","DL.org - Digital library technology and methodology cook book"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::90eeb9fe77de280c061be50ff235e543","Ioannidis, Yannis","DL.org - The digital library reference model"
ioannidisy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::04debf86d658ae5d34d9ccd90cf6849b","Ioannidis, Yannis","A functionality perspective on digital library interoperability"
ioannidisy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od_______211::ae3c3625c4e18dab4aeae95d5443afd5","Ioannidis, Yannis","Digital Library Information-Technology Infrastructures"
ioannidisy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2367::1e6ccc46b127bba420f151b7775609bd","Ioannidis, Yannis","Digital library reference model in a nutshell"
