"k","subject.system_interoperability","subject.current_research_information_systems","subject.open_access_repositories","subject.content_aggregation","subject.research_information_management","subject.data_exchange","coauthor.schirrwagen","coauthor.karaiskos","coauthor.dvorak","coauthor.bollini","coauthor.bonis","coauthor.gasparis","coauthor.tsoukala","coauthor.manghi","coauthor.principe","coauthor.castro","subject.open_access","subject.oaipmh","subject.openaire","subject.cerifxml","coauthor.jorg","coauthor.rodrigues","coauthor.elbk","coauthor.houssos","subject.software","subject.research_data","subject.research_literature","subject.einfrastructure","subject.research_group","subject.policies","coauthor.katifori","coauthor.meier_zu_verl","coauthor.horstmann","coauthor.candela","subject.enhanced_publication","subject.open_access_infrastructure","subject.contextual_information","subject.data_publication_linking","coauthor.losch","coauthor.callaghan","coauthor.iatropoulou","coauthor.keramida","coauthor.rettberg","coauthor.hoogerwerf","subject.data_mining","subject.data_processing_system","subject.text_mining","subject.openaire_infrastructure","subject.big_data","coauthor.bolikowski","coauthor.horst","coauthor.manola","coauthor.kobos","subject.enanced_publications","subject.datapublication_linkage","coauthor.graf","subject.research_information","subject.cerif","subject.interoperability","subject.data_archive","subject.data_sharing","subject.training","subject.data_curation","subject.science_policy","subject.documentation","subject.digital_libraries","subject.education","subject.data_management","coauthor.horik","coauthor.scharnhorst","coauthor.casarosa","coauthor.goodale","coauthor.dillo","subject.settore_sps__sociologia_dei_processi_culturali_e_comunicativi","subject.open_data","subject.science_communication","subject.settore_sps__sociologia_generale","subject.participation","subject.open_science","coauthor.anagnostou","coauthor.capocasa","coauthor.bencivelli","coauthor.cerroni","coauthor.contreras","coauthor.enke","coauthor.fantini","coauthor.greco","coauthor.heeney","coauthor.luzi","coauthor.mascalzoni","coauthor.molloy","coauthor.parenti","coauthor.wicherts","coauthor.boulton","coauthor.destro_bisol","subject.funding_information","subject.repositories","coauthor.carvalho","subject.h_digital_libraries","subject.authority_control","subject.ontologies","subject.cassandra","subject.record_deduplication","subject.candidate_identifi_cation","subject.sorted_neighbourhood","subject.record_merge","subject.metadata","subject.record_aggregations","coauthor.mikulicic","coauthor.atzori","subject.openaireplus_project","subject.interlinked_repositories","subject.scholarly_communication_infrastructure","coauthor.smith","subject.desktop_tagging_tool","subject.scholarly_research","subject.reading_lists","coauthor.kazai","coauthor.milicfrayling","coauthor.haughton","coauthor.lempesis","subject.openaire_infrastructure_services","coauthor.bardi","coauthor.shirrwagen","coauthor.summann","coauthor.jahn","coauthor.nielsen","coauthor.lange","subject.aggregation","subject.cultural_heritage","subject.data_infrastructures","subject.mapping","subject.metadata_records","subject.serviceoriented_architecture","coauthor.la_bruzzo","coauthor.zoppi","coauthor.artini","subject.metadata_formats","subject.aggregation_system","subject.data_infrastructure","coauthor.mannocci","coauthor.ruiz","subject.data_interoperability","subject.image_processing","coauthor.amato","coauthor.bolettieri","coauthor.falchi","subject.h__digital_libraries","subject.hope_project","subject.metadata_transformations","subject.aggregative_data_infrastructure","subject.sustainability","subject.virtual_digital_library_generation","subject.virtual_digital_library","coauthor.castelli","coauthor.frosini","coauthor.lelii","coauthor.manzi","coauthor.pagano","coauthor.simi","coauthor.assante","subject.linking_dataset_and_publications","subject.enhanced_publications","coauthor.l_sch","subject.h_information_systems","subject.h_logical_design","subject.d_interoperability","subject.metadata_format","subject.hope_data_model","subject.metadata_interoperabiltiy","coauthor.janssens","coauthor.dyck","coauthor.eric","coauthor.m_th","coauthor.dob","coauthor.straube","coauthor.lemmens","subject.rda_publishing_data_services","subject.horiizon_","subject.dataliterature_interlinking_service","subject.research_data_publishing","coauthor.koers","coauthor.aryani","coauthor.diepenbroek","coauthor.schindler","coauthor.burton","subject.reseaarch_information","coauthor.j_rg","coauthor.dvo_k","coauthor.pr_ncipe","coauthor.elb_k","coauthor.houssoss","subject.science_and_society","subject.biobanks","subject.data_iteroperability","subject.data_cleansing","subject.aggregation_systems","coauthor.biagini","coauthor.debole","coauthor.mikulic","coauthor.savino","subject.data_publishing","subject.data_citation","subject.eresearch","subject.data_models","subject.information_systems","subject.escience","subject.scholarly_communication","subject.executable_papers","subject.h_textual_databases","subject.h_information_search_and_retrieval_query_formulation","subject.annotation_tagging","subject.apache_solr","subject.fulltext_index","subject.realtime_update","subject.data_cleaning","coauthor.gennaro","subject.metadata_aggregation","subject.infrastructure","subject.metadata_model","coauthor.gomezpantoja","coauthor.fuentes","coauthor.sicilia","id","name","title"
manghip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______3556::deb7da081d5c8a4daa8c32de1bbc047a","Manghi, Paolo","Progress in the Implementation of the OpenAIRE Guidelines for CRIS Managers"
manghip,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______3556::644a7642326a9039aa8b1e91263aa3f5","Manghi, Paolo","OpenAIRE Guidelines for CRIS Managers: Supporting interoperability of Open Research Information through established standards"
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2294::fbccea8f7400eb0c7cdda8f44f7c8bac","Manghi, Paolo","e-Infrastructures Area"
manghip,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2294::5c30fb6929e9e7e23d5afe0b56c60db2","Manghi, Paolo","Linking Data and Publications: Towards a Cross-Disciplinary Approach"
manghip,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2294::bc09137e675325216d9f8fd8b8874b11","Manghi, Paolo","Information Inference in Scholarly Communication Infrastructures: The OpenAIREplus Project Experience"
manghip,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______2294::df04712ce718dbe12ce75004b42ee1f6","Manghi, Paolo","Connecting Data and Publications through e-Infrastructures"
manghip,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______1202::51dbf8162d89f45a03025557119bec2f","Manghi, Paolo","OpenAIRE Guidelines for CRIS Managers: Supporting Interoperability of Open Research Information through Established Standards"
manghip,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|narcis______::16b333460c6e00187e4be7e013983529","Manghi, Paolo","Training in Data Curation as Service in a Federated Data Infrastructure - The FrontOffice-BackOffice Model"
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od______1299::bcf6c790951d699e9ad6abfca3256004","Manghi, P","Perspective on open science and scientific data sharing: an interdisciplinary workshop"
manghip,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30|od_______307::f3752717d1f7632b71316d9a218a1489","Manghi, Paolo","OpenAIRE guidelines for CRIS managers : supporting interoperability of open research information through established standards"
