k,subject_data_archive,subject_data_sharing,subject_training,subject_data_curation,subject_science_policy,subject_documentation,subject_digital_libraries,subject_education,subject_data_management,coauthor_horik,coauthor_scharnhorst,coauthor_bolikowski,coauthor_casarosa,coauthor_goodale,coauthor_houssos,coauthor_manghi,coauthor_schirrwagen,coauthor_dillo,subject_open_access,subject_system_interoperability,subject_oaipmh,subject_current_research_information_systems,subject_openaire,subject_cerifxml,subject_research_information_management,coauthor_jorg,coauthor_dvorak,coauthor_principe,coauthor_rodrigues,coauthor_elbk,subject_research_information,subject_cerif,subject_interoperability,subject_settore_sps__sociologia_dei_processi_culturali_e_comunicativi,subject_open_data,subject_science_communication,subject_settore_sps__sociologia_generale,subject_participation,subject_open_science,coauthor_anagnostou,coauthor_capocasa,coauthor_bencivelli,coauthor_cerroni,coauthor_contreras,coauthor_enke,coauthor_fantini,coauthor_greco,coauthor_heeney,coauthor_luzi,coauthor_mascalzoni,coauthor_molloy,coauthor_parenti,coauthor_wicherts,coauthor_boulton,coauthor_destro_bisol,subject_funding_information,subject_repositories,coauthor_manola,coauthor_carvalho,coauthor_rettberg,subject_enanced_publications,subject_datapublication_linkage,coauthor_hoogerwerf,coauthor_losch,coauthor_callaghan,coauthor_iatropoulou,coauthor_keramida,coauthor_graf,subject_data_mining,subject_data_processing_system,subject_text_mining,subject_openaire_infrastructure,subject_big_data,coauthor_horst,coauthor_kobos,subject_enhanced_publication,subject_open_access_infrastructure,subject_contextual_information,subject_data_publication_linking,subject_software,subject_research_data,subject_research_literature,subject_einfrastructure,subject_research_group,subject_policies,coauthor_katifori,coauthor_meier_zu_verl,coauthor_horstmann,coauthor_candela,subject_h__digital_libraries,subject_aggregation,subject_cultural_heritage,subject_hope_project,subject_data_infrastructures,subject_metadata_transformations,subject_aggregative_data_infrastructure,subject_sustainability,subject_serviceoriented_architecture,subject_metadata,coauthor_zoppi
manghip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
manghip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
